trip_no,start_date,end_date
287,2016-06-01 13:10:00,2016-06-01 13:39:00
288,2016-06-03 11:29:00,2016-06-03 11:49:00
289,2016-06-03 13:08:00,2016-06-03 13:38:00
290,2016-06-03 15:31:00,2016-06-03 15:54:00
291,2016-06-03 18:14:00,2016-06-03 18:29:00
292,2016-06-03 18:41:00,2016-06-03 18:53:00
293,2016-06-03 19:36:00,2016-06-03 19:42:00
294,2016-06-03 22:47:00,2016-06-03 23:06:00
295,2016-06-05 14:03:00,2016-06-05 14:33:00
296,2016-06-05 15:06:00,2016-06-05 15:22:00
297,2016-06-05 15:57:00,2016-06-05 16:08:00
298,2016-06-05 18:05:00,2016-06-05 18:14:00
299,2016-06-05 21:53:00,2016-06-05 22:05:00
300,2016-06-05 23:52:00,2016-06-06 00:08:00
301,2016-06-06 15:36:00,2016-06-06 15:45:00
302,2016-06-06 16:16:00,2016-06-06 16:24:00
303,2016-06-06 20:06:00,2016-06-06 20:20:00
304,2016-06-06 21:08:00,2016-06-06 21:37:00
305,2016-06-06 21:41:00,2016-06-06 22:00:00
306,2016-06-06 23:34:00,2016-06-06 23:48:00
307,2016-06-07 21:42:00,2016-06-07 22:00:00
308,2016-06-07 23:41:00,2016-06-08 00:04:00
309,2016-06-08 08:23:00,2016-06-08 08:53:00
310,2016-06-08 12:04:00,2016-06-08 13:01:00
311,2016-06-08 13:12:00,2016-06-08 13:29:00
312,2016-06-08 14:31:00,2016-06-08 14:37:00
313,2016-06-08 16:55:00,2016-06-08 17:11:00
314,2016-06-08 17:16:00,2016-06-08 17:18:00
315,2016-06-08 17:59:00,2016-06-08 18:05:00
316,2016-06-08 20:11:00,2016-06-08 20:25:00
317,2016-06-10 15:19:00,2016-06-10 16:28:00
318,2016-06-10 21:47:00,2016-06-10 22:04:00
319,2016-06-10 23:53:00,2016-06-11 00:01:00
320,2016-06-11 17:08:00,2016-06-11 17:16:00
321,2016-06-11 17:34:00,2016-06-11 17:39:00
322,2016-06-11 21:45:00,2016-06-11 22:04:00
323,2016-06-11 23:39:00,2016-06-12 00:05:00
324,2016-06-12 19:53:00,2016-06-12 19:56:00
325,2016-06-12 20:05:00,2016-06-12 20:16:00
326,2016-06-12 21:58:00,2016-06-12 22:19:00
327,2016-06-13 05:23:00,2016-06-13 05:42:00
328,2016-06-13 14:17:00,2016-06-13 14:46:00
329,2016-06-13 18:08:00,2016-06-13 18:47:00
